UserID,Name,AgeGroup,Occupation,Username,Password
1,이민수,60대 이상,서비스직,user1,pass1
2,장지훈,50대,주부,user2,pass2
3,최준형,30대,무직,user3,pass3
4,이지원,60대 이상,사무직,user4,pass4
5,이유진,20대,자영업자,user5,pass5
6,정민수,50대,서비스직,user6,pass6
7,김서윤,40대,사무직,user7,pass7
8,최지훈,50대,자영업자,user8,pass8
9,한유진,60대 이상,서비스직,user9,pass9
10,김지원,10대,서비스직,user10,pass10
11,최지원,40대,무직,user11,pass11
12,정지훈,60대 이상,무직,user12,pass12
13,임유진,50대,무직,user13,pass13
14,장민수,30대,자영업자,user14,pass14
15,박혜린,60대 이상,주부,user15,pass15
16,윤민정,30대,기타,user16,pass16
17,박지훈,40대,사무직,user17,pass17
18,윤서윤,20대,서비스직,user18,pass18
19,이혜린,60대 이상,자영업자,user19,pass19
20,이지후,40대,서비스직,user20,pass20
21,윤유진,30대,기타,user21,pass21
22,장민수,40대,기타,user22,pass22
23,임지원,10대,자영업자,user23,pass23
24,이혜린,60대 이상,서비스직,user24,pass24
25,이지원,10대,학생,user25,pass25
26,장유진,20대,주부,user26,pass26
27,윤유진,40대,사무직,user27,pass27
28,최서윤,40대,주부,user28,pass28
29,김지훈,40대,주부,user29,pass29
30,장서윤,40대,사무직,user30,pass30
31,최서윤,20대,무직,user31,pass31
32,정민정,30대,기타,user32,pass32
33,임지후,50대,주부,user33,pass33
34,박지후,20대,학생,user34,pass34
35,윤지훈,30대,무직,user35,pass35
36,장서윤,60대 이상,자영업자,user36,pass36
37,권준형,30대,무직,user37,pass37
38,한지훈,60대 이상,사무직,user38,pass38
39,박도연,30대,자영업자,user39,pass39
40,정민정,40대,기타,user40,pass40
41,한지훈,20대,서비스직,user41,pass41
42,윤민수,30대,기타,user42,pass42
43,최민수,50대,무직,user43,pass43
44,윤혜린,50대,학생,user44,pass44
45,장서윤,10대,기타,user45,pass45
46,최유진,30대,기타,user46,pass46
47,윤지훈,20대,기타,user47,pass47
48,임혜린,40대,기타,user48,pass48
49,임준형,10대,자영업자,user49,pass49
50,장준형,30대,무직,user50,pass50
51,최지원,40대,자영업자,user51,pass51
52,한민정,20대,사무직,user52,pass52
53,권혜린,20대,무직,user53,pass53
54,권혜린,10대,서비스직,user54,pass54
55,윤지훈,10대,사무직,user55,pass55
56,박지원,30대,서비스직,user56,pass56
57,임서윤,40대,무직,user57,pass57
58,김서윤,50대,사무직,user58,pass58
59,박준형,40대,무직,user59,pass59
60,정유진,20대,자영업자,user60,pass60
61,이혜린,20대,기타,user61,pass61
62,정유진,30대,자영업자,user62,pass62
63,임지원,50대,학생,user63,pass63
64,장지원,60대 이상,자영업자,user64,pass64
65,김서윤,30대,주부,user65,pass65
66,한민정,20대,자영업자,user66,pass66
67,윤서윤,20대,주부,user67,pass67
68,장혜린,40대,자영업자,user68,pass68
69,박도연,50대,주부,user69,pass69
70,김민정,40대,주부,user70,pass70
71,한준형,40대,기타,user71,pass71
72,한서윤,30대,무직,user72,pass72
